Attitude_time_ms, Pitch, Pitchspeed, Roll, Rollspeed, Yaw, Yawspeed,Global Position Time ms, Altitude, Heading, Latitude, Longitude, Relative Altitude, Velocity X, Velocity Y, Velocity Z,IMU time us, Acceleration X, Acceleration Y, Gyro X, Gyro Y,Local Position Time ms, Velocity X, Velocity Y, Velocity Z, Position X, Position Y, Position Z
2987132,-0.006273,0.000375,-0.005132,0.001325,1.593933,0.001089, , , , , , , , , ,2987132000,-0.050237,0.052683,0.000139,-0.000108,2987136,0.000467,0.002453,-0.000291,0.000632,0.009759,-0.055855
2987144,-0.006252,0.002126,-0.005120,0.000964,1.593958,0.002247, , , , , , , , , ,2987152000,-0.059814,0.045500,-0.001991,0.002022,2987168,0.000268,0.002435,-0.000564,0.000660,0.009804,-0.055890
2987152,-0.006239,0.002259,-0.005132,-0.002125,1.593955,-0.001693, , , , , , , , , ,2987172000,-0.056223,0.092187,0.000139,0.000691,2987200,0.000392,0.002373,-0.000971,0.000683,0.009846,-0.055934
2987164,-0.006219,0.001123,-0.005151,-0.001122,1.593957,0.000080, , , , , , , , , ,2987192000,-0.074179,0.029938,0.000139,-0.000641,2987232,-0.000053,0.002090,-0.001240,0.000702,0.009878,-0.055988
2987172,-0.006211,0.000775,-0.005140,0.001352,1.593967,0.000831, , , , , , , , , ,2987216000,-0.069391,0.068245,-0.001991,-0.000641,2987272,-0.000293,0.002188,-0.001676,0.000703,0.009909,-0.056065
2987184,-0.006218,-0.000774,-0.005168,-0.002203,1.593963,-0.000573, , , , , , , , , ,2987232000,-0.063405,0.055077,-0.002258,0.000158,2987304,-0.000271,0.002455,-0.001755,0.000703,0.009925,-0.056116
2987192,-0.006224,0.000417,-0.005174,0.000636,1.593964,0.000068, , , , , , , , , ,2987256000,-0.069391,0.087399,-0.001725,0.000424,2987336,-0.000661,0.002638,-0.002122,0.000688,0.009949,-0.056176
2987204,-0.006207,0.001353,-0.005171,0.000192,1.593975,0.000856, , , , , , , , , ,2987272000,-0.057420,0.044303,-0.001991,0.000158,2987904,-0.000342,0.000594,0.000898,0.000622,0.009535,-0.055993
2987212,-0.006209,-0.000701,-0.005182,-0.002049,1.593988,0.000833, , , , , , , , , ,2987292000,-0.066997,0.061063,0.000139,-0.000907,2987936,0.000017,0.000309,0.001067,0.000620,0.009494,-0.055964
2987224,-0.006208,-0.000422,-0.005196,-0.002572,1.594005,-0.000780, , , , , , , , , ,2987312000,-0.029887,0.059866,0.000672,-0.001440,2987968,0.000109,-0.000650,0.001350,0.000628,0.009434,-0.055930
2987232,-0.006211,0.001405,-0.005221,-0.001776,1.593985,-0.001765, , , , , , , , , ,2987332000,-0.071785,0.063457,0.000139,0.001756,2988000,0.000313,-0.000769,0.001232,0.000644,0.009359,-0.055897
2987244,-0.006206,-0.002412,-0.005245,-0.002692,1.593977,-0.000779, , , , , , , , , ,2987892000,-0.057430,0.057460,0.001467,-0.000640,2988536,-0.000033,0.000574,-0.002884,0.000807,0.009241,-0.056525
2987252,-0.006219,-0.000379,-0.005273,-0.002749,1.593972,0.000368, , , , , , , , , ,2987916000,-0.087358,0.052672,0.002266,0.001491,2988568,-0.000279,0.000886,-0.002505,0.000778,0.009233,-0.056591
2987264,-0.006216,0.000235,-0.005263,0.002169,1.593993,0.002128, , , , , , , , , ,2987932000,-0.069401,0.043095,0.002000,0.001225,2988600,-0.000475,0.001274,-0.002000,0.000750,0.009231,-0.056639
2987272,-0.006217,-0.000163,-0.005271,-0.000713,1.593989,-0.000394, , , , , , , , , ,2987952000,-0.075387,0.039504,-0.002794,0.000958,2988632,-0.000713,0.001403,-0.001129,0.000713,0.009241,-0.056666
2987284,-0.006189,0.002321,-0.005278,-0.000288,1.593995,0.000669, , , , , , , , , ,2987972000,-0.083767,0.059855,-0.000131,-0.000640,2988672,-0.000848,0.001327,-0.000593,0.000658,0.009252,-0.056669
2987292,-0.006185,-0.002140,-0.005274,0.000592,1.593984,0.000065, , , , , , , , , ,2987992000,-0.037080,0.044292,-0.001196,0.002556,2989168,0.001198,-0.001632,-0.000082,0.000864,0.008588,-0.056201
2987304,-0.006196,0.000060,-0.005270,0.000342,1.594000,0.001361, , , , , , , , , ,2988012000,-0.059825,0.026336,-0.001196,0.000426,2989200,0.000973,-0.001280,-0.000622,0.000874,0.008550,-0.056223
